#,MLS #,Status,Area,Address,Zip,# Beds Total,# Baths Full,# Baths Half,# Living,# Stories,# Garage Spaces,Year Built,Acres,Sqft Total,LP$SqFt,List Price,Sold/Lease$/SqFt,Sold/Lease Price,Sold/Lease Date,ADOM,CDOM
56,1634911,S,1A,7301 Waterline RD,78731,3,2,0,3,1,2,1966,0.22,"2,254",$277.28 ,"$625,000 ",$279.06 ,"$629,000 ",10/5/2015,72,72
57,6529386,S,1A,8704 Silverhill LN,78759,4,3,0,3,2,2,1967,0.25,"2,655",$244.82 ,"$650,000 ",$237.29 ,"$630,000 ",8/31/2015,20,20
58,3736153,S,1A,4107 Edwards Mountain DR,78731,3,2,1,2,2,2,1998,0.29,"2,757",$230.32 ,"$635,000 ",$228.51 ,"$630,000 ",8/18/2015,5,120
59,1944419,S,1A,4005 Greystone DR,78731,4,2,0,2,1,2,1967,0.22,"2,224",$283.27 ,"$630,000 ",$284.62 ,"$633,000 ",7/15/2015,10,10
60,2049385,S,1A,4708 WESTSLOPE CIR,78731,3,2,1,2,2,2,1984,0.31,"2,392",$278.01 ,"$665,000 ",$266.30 ,"$637,000 ",9/15/2015,109,109
61,2567613,S,1A,3920 Dry Creek DR,78731,3,2,0,2,2,3,1983,0.44,"2,782",$222.83 ,"$619,900 ",$230.05 ,"$640,000 ",6/25/2015,7,7
62,7344866,S,1A,4200 North Hills DR,78731,4,2,0,1,1,2,1965,0.24,"2,398",$264.80 ,"$635,000 ",$268.97 ,"$645,000 ",12/18/2015,3,3
63,4593044,S,1A,8540 Adirondack TRL Unit#24,78759,3,2,1,3,2,2,2003,0.51,"2,456",$258.55 ,"$635,000 ",$262.62 ,"$645,000 ",7/24/2015,4,34
64,7795102,S,1A,3807 Rockledge DR,78731,4,2,1,2,1,2,1967,0.44,"2,622",$266.59 ,"$699,000 ",$247.90 ,"$650,000 ",10/30/2015,35,35
65,9767116,S,1A,3904 Knollwood DR,78731,4,3,0,2,2,2,2003,0.57,"3,012",$224.10 ,"$675,000 ",$215.80 ,"$650,000 ",9/30/2015,67,67
66,7270428,S,1A,7701 Stonehaven CIR,78731,5,4,0,3,1,2,1978,0.26,"3,675",$187.76 ,"$690,000 ",$178.23 ,"$655,000 ",8/24/2015,21,21
67,9101097,S,1A,4109 Edwards Mountain DR,78731,3,2,1,3,2,2,1998,0.37,"2,932",$238.40 ,"$699,000 ",$226.64 ,"$664,500 ",11/30/2015,5,5
68,2371409,S,1A,4903 Backtrail DR,78731,4,3,1,2,2,2,1984,0.31,"2,789",$250.99 ,"$700,000 ",$238.44 ,"$665,000 ",12/1/2015,17,93
69,7299091,S,1A,8602 Altus CV,78759,4,2,1,2,2,2,1977,0.28,"3,020",$224.83 ,"$679,000 ",$221.85 ,"$670,000 ",8/27/2015,30,315
70,7265505,S,1A,4207 Endcliffe DR,78731,5,3,1,2,2,2,1969,0.33,"2,683",$260.53 ,"$699,000 ",$251.58 ,"$675,000 ",12/29/2015,67,67
71,4109501,S,1A,7609 Parkview CIR,78731,3,2,1,2,2,2,1975,0.7,"2,289",$294.84 ,"$674,900 ",$295.33 ,"$676,000 ",11/2/2015,3,3
72,2733583,S,1A,5804 Highland PASS,78731,4,3,1,2,3,2,1973,0.97,"3,095",$226.14 ,"$699,900 ",$220.36 ,"$682,000 ",9/11/2015,36,36
73,6088156,S,1A,6203 Mesa DR,78731,4,2,0,2,1,2,1979,0.49,"3,153",$225.18 ,"$710,000 ",$216.78 ,"$683,500 ",9/17/2015,12,12
74,5707692,S,1A,6303 Shadow Mountain DR,78731,4,3,0,2,1,2,1977,0.32,"3,093",$218.23 ,"$675,000 ",$221.47 ,"$685,000 ",7/6/2015,4,4
75,8508299,S,1A,6013 Lonesome Valley TRL,78731,3,2,1,2,2,2,1986,0.3,"2,849",$245.35 ,"$699,000 ",$240.96 ,"$686,500 ",9/8/2015,27,27
76,5301901,S,1A,4011 Greystone DR,78731,3,3,0,2,1,2,1969,0.3,"2,340",$292.74 ,"$685,000 ",$294.87 ,"$690,000 ",7/30/2015,19,19
77,4871662,S,1A,5001 Arax CV,78731,4,2,1,2,3,2,1977,0.34,"3,230",$216.41 ,"$699,000 ",$214.24 ,"$692,000 ",8/31/2015,58,58
78,1979769,S,1A,6205 Shadow Mountain DR,78731,5,3,1,1,2,2,1977,0.25,"3,122",$230.46 ,"$719,500 ",$222.07 ,"$693,293 ",8/31/2015,11,11
79,6986056,S,1A,7309 W Rim DR,78731,4,3,0,2,1,2,1967,0.33,"2,945",$235.99 ,"$695,000 ",$235.99 ,"$695,000 ",10/15/2015,1,1
80,5330105,S,1A,4013 Far West,78731,3,3,1,4,1,2,1967,0.23,"3,231",$216.50 ,"$699,500 ",$216.50 ,"$699,500 ",8/26/2015,22,22
81,6006291,S,1A,4502 Cat Mountain DR,78731,5,3,1,2,2,2,1977,0.31,"3,465",$209.99 ,"$727,600 ",$202.02 ,"$700,000 ",7/16/2015,2,92
82,2773917,S,1A,8603 Emerald Hill DR,78759,4,2,0,1,1,2,1969,0.27,"2,123",$320.25 ,"$679,900 ",$332.08 ,"$705,000 ",12/21/2015,5,5
83,9384919,S,1A,4116 Burney DR,78731,4,3,0,3,1,2,1971,0.32,"2,708",$258.12 ,"$699,000 ",$262.56 ,"$711,000 ",11/16/2015,3,3
84,3184107,S,1A,8700 Tallwood DR,78759,4,3,2,3,2,2,1965,0.32,"3,601",$208.21 ,"$749,750 ",$201.33 ,"$725,000 ",11/19/2015,22,22
85,9220124,S,1A,3914 Edgerock DR,78731,4,2,1,2,2,2,1969,0.26,"2,945",$246.18 ,"$725,000 ",$246.18 ,"$725,000 ",6/12/2015,7,7
86,1114196,S,1A,4103 Villacliff CIR,78759,4,3,0,2,1,2,1971,0.37,"2,486",$295.66 ,"$735,000 ",$295.66 ,"$735,000 ",8/6/2015,4,4
87,4027937,S,1A,5922 Lookout Mountain DR,78731,3,2,1,4,3,2,1999,0.12,"2,794",$272.01 ,"$760,000 ",$263.06 ,"$735,000 ",10/29/2015,104,104
88,5615431,S,1A,7643 Parkview CIR,78731,4,3,0,2,2,2,1973,0.31,"2,600",$288.46 ,"$750,000 ",$286.54 ,"$745,000 ",12/17/2015,3,3
89,4369544,S,1A,8406 Emerald Hill DR,78759,3,2,1,3,1,0,1970,0.39,"3,303",$229.79 ,"$759,000 ",$227.37 ,"$751,000 ",10/30/2015,13,13
