,Zip Code,Square Footage,List Price,Sold Price Per Foot,Sold Price,Sold Date
343,78759,2119,449900,212.32,449900,8/7/2017
344,78759,1951,450000,230.65,450000,11/2/2017
345,78759,2520,425000,178.57,450000,6/9/2017
346,78759,1888,449000,238.35,450000,5/30/2017
347,78759,1840,449500,245.92,452500,6/19/2017
348,78759,2498,460000,184.15,460000,6/23/2017
349,78759,1973,475000,233.15,460000,6/26/2017
350,78727,2090,450000,220.57,461000,6/13/2017
351,78759,1965,450000,235.11,462000,6/29/2017
352,78759,1921,449900,242.06,465000,11/15/2017
353,78750,2575,479990,180.58,465000,7/14/2017
354,78750,2306,468000,202.95,468000,5/15/2017
355,78759,2089,469000,224.51,469000,8/8/2017
356,78759,2473,449900,190.05,470000,6/13/2017
357,78759,2613,498500,181.78,475000,11/3/2017
358,78727,2448,474900,194.85,477000,5/31/2017
359,78759,2495,499950,192.31,479820,11/27/2017
360,78759,2264,489900,212.01,480000,10/11/2017
361,78759,2235,500000,214.77,480000,8/27/2017
362,78759,2273,475000,212.05,482000,8/18/2017
363,78759,1918,495000,252.87,485000,9/8/2017
364,78759,2519,499999,192.54,485000,8/16/2017
365,78759,2770,490000,175.09,485000,7/11/2017
366,78759,2153,499900,225.27,485000,7/17/2017
367,78759,2216,499000,220.8,489300,8/10/2017
368,78759,2381,489900,205.75,489900,8/15/2017
369,78750,2455,499000,199.59,490000,9/28/2017
370,78750,2408,499000,207.23,499000,11/17/2017
371,78759,2680,499000,186.19,499000,11/2/2017
372,78759,2083,514900,240.04,500000,6/23/2017
373,78727,2280,499900,219.87,501300,6/27/2017
374,78759,2307,485000,218.9,505000,10/26/2017
375,78759,2184,500000,231.23,505000,6/22/2017
376,78759,2115,505900,239.95,507500,7/31/2017
377,78759,3070,510000,166.12,510000,10/4/2017
378,78750,2956,554000,174.22,515000,11/3/2017
379,78759,2374,524000,216.93,515000,6/19/2017
380,78759,2304,545000,227.86,525000,8/4/2017
381,78759,2634,510000,199.32,525000,6/30/2017
382,78759,1817,545000,292.79,532000,9/13/2017
383,78750,2750,539999,194.36,534500,9/6/2017
384,78727,2273,524900,235.37,535000,9/25/2017
385,78759,2121,549000,256.01,543000,11/16/2017
386,78759,2398,560000,226.86,544000,7/21/2017
387,78750,2775,569000,198.2,550000,11/10/2017
388,78759,2758,550000,199.42,550000,7/14/2017
389,78759,2525,589950,218.97,552900,8/24/2017
390,78759,2366,559000,235.8,557900,7/31/2017
391,78759,2331,559000,240.24,560000,5/31/2017
392,78759,2710,587785,210.89,571500,11/10/2017
393,78759,3174,549000,181.16,575000,6/12/2017
394,78759,2737,590000,211.91,580000,9/15/2017
395,78759,2950,579000,196.61,580000,5/31/2017
396,78750,2246,580000,258.99,581689,9/13/2017
397,78750,2411,599900,241.39,582000,7/31/2017
398,78759,2933,599900,200.82,589000,7/28/2017
399,78750,2521,624900,233.99,589900,9/7/2017
400,78759,2912,599000,202.61,590000,6/16/2017
401,78750,2476,591500,238.89,591500,5/25/2017
402,78750,2985,639900,201.01,600000,9/8/2017
403,78759,3455,610000,173.66,600000,10/31/2017
404,78759,3094,655000,193.92,600000,9/20/2017
405,78750,2749,615000,220.08,605000,10/19/2017
406,78759,3188,615000,191.34,610000,6/9/2017
407,78750,2323,649000,267.76,622000,11/15/2017
408,78750,3004,649000,207.06,622000,8/22/2017
409,78759,3073,595500,203.38,625000,7/21/2017
410,78750,3256,649700,191.95,625000,9/25/2017
411,78759,4444,675000,141.99,631000,8/4/2017
412,78759,2203,635000,289.61,638000,9/15/2017
413,78759,2820,639900,227.3,641000,6/12/2017
414,78759,3658,680000,177.97,651000,10/20/2017
415,78750,3260,669000,201.23,656000,11/7/2017
416,78759,3146,674500,209.79,660000,10/11/2017
417,78750,2806,650000,236.99,665000,9/18/2017
418,78750,3577,699990,188.71,675000,10/13/2017
419,78750,3244,679900,209.93,681000,7/31/2017
420,78759,4647,699500,148.27,689007,7/7/2017
421,78759,3257,700000,214.92,700000,7/27/2017
422,78750,3805,700000,189.22,720000,9/27/2017
423,78759,2955,740000,244.5,722500,9/12/2017
424,78759,3892,725000,186.28,725000,6/12/2017
425,78759,4539,740000,161.27,732000,9/28/2017
426,78750,4470,735000,164.43,735000,6/29/2017
427,78759,4022,799000,183.29,737200,8/31/2017
428,78750,3154,725000,234.31,739000,8/11/2017
429,78759,3216,765000,237.87,765000,6/5/2017
430,78759,3642,819999,218.01,794000,7/20/2017
431,78727,3851,829900,211.63,815000,10/4/2017
432,78727,4187,875000,203.01,850000,10/25/2017
433,78759,4229,889000,208.56,882000,6/30/2017
434,78750,4072,1017950,249.99,1017950,6/22/2017
435,78757,1080,200000,179.63,194000,10/11/2017
436,78752,672,175000,297.62,200000,6/2/2017
437,78757,875,250000,245.71,215000,7/5/2017
438,78752,1104,240000,200.18,221000,9/25/2017
439,78752,988,255000,237.85,235000,11/6/2017
440,78757,1076,250000,223.05,240000,8/31/2017
441,78757,1559,400000,153.94,240000,5/18/2017
442,78757,1117,275000,223.81,250000,7/24/2017
443,78757,1008,255000,250.2,252200,9/28/2017
444,78757,576,255000,447.92,258000,5/25/2017
445,78752,873,265000,297.82,260000,9/29/2017
446,78752,1130,279900,230.09,260000,5/31/2017
447,78752,1170,260000,223.93,262000,8/4/2017
448,78752,940,275000,281.91,265000,11/3/2017
449,78752,1573,289000,171.01,269000,10/24/2017
450,78752,998,279900,271.54,271000,10/3/2017
451,78752,1309,274500,209.7,274500,10/16/2017
452,78752,1230,269900,227.64,280000,7/21/2017
453,78752,750,285000,378.0,283500,7/14/2017
454,78757,980,279000,290.82,285000,8/1/2017
455,78757,994,285000,286.72,285000,6/30/2017
456,78752,1040,299500,274.04,285000,8/30/2017
457,78752,1170,287703,247.01,289000,6/22/2017
458,78752,1400,310000,214.29,300000,10/11/2017
459,78757,721,310000,429.96,310000,5/26/2017
460,78757,1365,324900,228.21,311500,11/10/2017
461,78757,1096,325000,289.23,317000,9/26/2017
462,78757,1006,320000,322.07,324000,6/9/2017
463,78757,1080,380000,300.93,325000,9/27/2017
464,78757,1152,325000,282.12,325000,7/28/2017
465,78757,950,325000,342.11,325000,6/30/2017
466,78757,970,325000,338.14,328000,8/4/2017
467,78757,1133,329000,290.38,329000,11/22/2017
468,78752,744,330000,443.55,330000,11/8/2017
469,78752,1773,345000,188.95,335000,8/20/2017
470,78757,752,360000,452.13,340000,10/31/2017
471,78757,1177,299900,289.34,340550,5/22/2017
472,78757,988,339700,354.25,350000,8/7/2017
473,78757,1884,350000,185.77,350000,10/31/2017
474,78752,1471,363800,237.93,350000,11/4/2017
475,78757,850,359000,415.88,353500,6/23/2017
476,78757,1450,349900,244.83,355000,5/25/2017
477,78757,1419,379000,253.7,360000,11/21/2017
478,78757,1736,379000,207.37,360000,7/17/2017
479,78757,1176,375000,310.37,365000,11/21/2017
480,78757,1771,369900,206.1,365000,10/23/2017
481,78757,1604,325000,227.96,365650,6/12/2017
482,78757,1056,359900,346.36,365758,6/8/2017
483,78757,821,385000,447.62,367500,9/8/2017
484,78752,1168,370000,315.07,368000,7/31/2017
485,78757,1483,412020,249.49,370000,9/7/2017
486,78757,1181,385000,313.29,370000,9/15/2017
487,78757,1668,379000,221.82,370000,8/9/2017
488,78757,1164,380000,318.73,371000,8/3/2017
489,78757,1415,369900,262.83,371900,8/7/2017
490,78752,1306,379900,285.22,372500,8/16/2017
491,78757,1122,400000,334.22,375000,11/20/2017
492,78757,2126,399000,176.39,375000,7/20/2017
493,78757,1822,389900,205.82,375000,5/31/2017
494,78757,1651,385000,230.16,380000,8/30/2017
495,78757,1323,425000,287.23,380000,9/26/2017
496,78752,1505,390000,252.49,380000,9/6/2017
497,78757,1030,379000,371.36,382500,10/23/2017
498,78757,1286,385000,299.38,385000,9/22/2017
499,78757,1822,405000,211.31,385000,10/31/2017
500,78757,642,375000,599.69,385000,8/11/2017
501,78757,1156,399900,333.04,385000,8/18/2017
502,78757,1390,369000,277.7,386000,7/18/2017
503,78752,1498,400000,257.92,386360,7/17/2017
504,78757,1080,389900,360.37,389200,7/25/2017
505,78752,1394,385000,281.92,393000,9/11/2017
506,78757,1326,395000,297.89,395000,5/25/2017
507,78757,1280,399000,311.33,398500,7/24/2017
508,78757,1272,399900,314.47,400000,9/13/2017
509,78757,1068,415000,376.31,401900,6/6/2017
510,78757,1473,424000,273.59,403000,10/31/2017
511,78757,1679,400000,241.22,405000,10/19/2017
512,78757,1394,462500,294.12,410000,7/11/2017
513,78757,1100,414900,373.64,411000,6/29/2017
514,78757,1764,424900,233.56,412000,10/30/2017
515,78752,1114,425000,372.53,415000,8/11/2017
516,78757,1547,429950,268.26,415000,8/24/2017
517,78757,1218,399900,340.72,415000,5/31/2017
518,78757,1461,420000,287.47,420000,10/13/2017
519,78757,1325,424900,316.98,420000,10/31/2017
520,78757,1294,484900,324.57,420000,9/1/2017
521,78757,1409,425000,298.08,420000,8/8/2017
522,78757,1318,389000,318.66,420000,6/9/2017
523,78757,1426,440000,295.93,422000,7/18/2017
524,78757,1410,420000,300.71,424000,9/28/2017
525,78757,1627,450000,260.66,424100,11/21/2017
526,78757,1388,425000,306.2,425000,8/23/2017
527,78757,1358,433000,312.96,425000,10/26/2017
528,78757,2020,450000,210.4,425000,8/25/2017
529,78757,1717,499999,247.52,425000,10/23/2017
530,78757,2220,450000,191.44,425000,10/20/2017
531,78757,1014,429900,423.96,429900,5/30/2017
532,78757,1176,440000,365.65,430000,9/12/2017
533,78757,1002,439000,430.14,431000,10/11/2017
534,78757,1658,450000,262.36,435000,8/28/2017
535,78757,1649,470000,264.35,435909,9/15/2017
536,78757,1142,400000,382.49,436800,5/17/2017
537,78757,1708,439000,255.85,437000,6/23/2017
538,78757,1562,450000,280.41,438000,7/19/2017
539,78757,1226,415000,358.89,440000,11/3/2017
540,78757,1715,445000,256.56,440000,9/15/2017
541,78757,1614,475000,274.16,442500,7/10/2017
542,78757,2334,445000,190.66,445000,6/2/2017
543,78757,2210,479000,201.36,445000,7/28/2017
544,78757,1520,459900,294.08,447000,11/1/2017
545,78757,1240,450000,362.1,449000,8/31/2017
546,78757,1826,489000,246.44,450000,10/31/2017
547,78757,1270,424990,354.33,450000,7/7/2017
548,78757,1758,450000,259.39,456000,5/31/2017
549,78757,1280,459000,358.59,459000,6/28/2017
550,78757,1218,474000,377.67,460000,7/28/2017
