,Zip,Sqft Total,List Price,Sold/Lease$/SqFt,Sold/Lease Price,Sold/Lease Date
697,78753,"1,578","$271,900 ",$167.93 ,"$265,000 ",7/17/2017
698,78758,"2,080","$255,000 ",$127.40 ,"$265,000 ",10/6/2017
699,78758,"1,473","$287,000 ",$179.90 ,"$265,000 ",7/14/2017
700,78758,"1,655","$276,000 ",$160.42 ,"$265,500 ",9/5/2017
701,78758,"1,464","$259,900 ",$182.38 ,"$267,000 ",9/26/2017
702,78758,"1,319","$268,800 ",$202.65 ,"$267,300 ",10/18/2017
703,78758,"1,150","$269,950 ",$234.74 ,"$269,950 ",8/1/2017
704,78753,"1,473","$270,000 ",$183.30 ,"$270,000 ",8/21/2017
705,78758,"1,065","$275,000 ",$256.34 ,"$273,000 ",6/20/2017
706,78758,"1,430","$259,900 ",$190.91 ,"$273,000 ",6/20/2017
707,78758,"1,576","$260,000 ",$174.49 ,"$275,000 ",8/28/2017
708,78753,"2,050","$274,000 ",$134.15 ,"$275,000 ",7/7/2017
709,78758,"1,786","$275,000 ",$153.98 ,"$275,000 ",8/18/2017
710,78758,"1,568","$285,000 ",$175.70 ,"$275,500 ",9/11/2017
711,78753,"1,972","$279,900 ",$141.94 ,"$279,900 ",8/31/2017
712,78753,"1,788","$270,000 ",$157.72 ,"$282,000 ",8/18/2017
713,78758,"1,356","$275,000 ",$208.41 ,"$282,600 ",7/28/2017
714,78753,"1,770","$295,000 ",$161.02 ,"$285,000 ",6/20/2017
715,78758,"1,549","$292,500 ",$185.60 ,"$287,500 ",8/7/2017
716,78758,"1,466","$295,984 ",$196.59 ,"$288,200 ",8/17/2017
717,78758,"1,120","$300,000 ",$258.93 ,"$290,000 ",11/20/2017
718,78758,"1,348","$279,900 ",$215.13 ,"$290,000 ",6/9/2017
719,78758,"1,044","$280,000 ",$279.69 ,"$292,000 ",9/6/2017
720,78758,"1,504","$294,499 ",$196.14 ,"$295,000 ",11/22/2017
721,78758,"1,478","$295,000 ",$200.95 ,"$297,000 ",9/20/2017
722,78758,"1,547","$305,000 ",$193.92 ,"$300,000 ",8/30/2017
723,78758,"1,500","$308,000 ",$200.00 ,"$300,000 ",7/7/2017
724,78758,"1,510","$306,000 ",$199.34 ,"$301,000 ",7/21/2017
725,78758,"1,516","$299,900 ",$201.12 ,"$304,900 ",9/15/2017
726,78758,"1,499","$310,000 ",$206.80 ,"$310,000 ",7/14/2017
727,78758,"1,696","$305,000 ",$182.78 ,"$310,000 ",8/15/2017
728,78758,"1,477","$299,000 ",$211.92 ,"$313,000 ",10/26/2017
729,78758,"1,926","$314,995 ",$163.55 ,"$314,995 ",7/14/2017
730,78758,"1,630","$325,000 ",$193.25 ,"$315,000 ",7/28/2017
731,78758,"1,640","$300,000 ",$192.68 ,"$316,000 ",8/16/2017
732,78758,"1,578","$295,000 ",$200.89 ,"$317,000 ",5/23/2017
733,78758,"2,348","$339,800 ",$135.30 ,"$317,687 ",11/9/2017
734,78758,"1,690","$315,000 ",$190.83 ,"$322,500 ",11/2/2017
735,78758,"1,642","$329,000 ",$200.97 ,"$330,000 ",8/1/2017
736,78758,"1,620","$339,900 ",$204.57 ,"$331,400 ",6/21/2017
